ردیف,فایل,عنوان_فعلی,موضوع,وضعیت,تصمیم,بچ
114,article-017.html,تامین تجهیزات صنعت سیمان,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,12
115,asme-b31-1.html,ASME B31.1,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,12
116,astm-jis.html,مقایسه استاندارد ASTM و JIS در پایپینگ,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,12
117,din-ansi.html,مقایسه استاندارد DIN و ANSI در پایپینگ,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,12
118,o2-co2-h2s.html,آنالایزر گاز صنعتی,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,12
119,oil-gas-industry-supply-guide.html,راهنمای تامین تجهیزات صنایع نفت و گاز,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,12
120,pressure-gauge-asme-b40-100.html,گیج فشار (Pressure Gauge),تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,12
121,transit-time-doppler.html,فلومتر اولتراسونیک,تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,13
122,vendor-qualification.html,راهنمای تأیید صلاحیت تامین‌کننده (Vendor Qualification),تامین و بازرگانی,محتوای قالبی,بازنویسی کامل,13
123,article-001.html,تست هیدرواستاتیک لوله,—,محتوای قالبی,ادغام پیشنهادی ← hydrostatic-test-pipe-guide.html,—
124,asme-b31-3.html,ASME B31.3,—,محتوای قالبی,ادغام پیشنهادی ← asme-b31-3-process-piping-guide.html,—
125,distribution-transformer.html,ترانسفورماتور توزیع (Distribution Transformer),—,محتوای قالبی,ادغام پیشنهادی ← power-distribution-transformer-guide.html,—
126,article-008.html,ترانسفورماتور قدرت,—,محتوای قالبی,ادغام پیشنهادی ← power-distribution-transformer-guide.html,—
127,a106-api-5l.html,مقایسه لوله A106 و API 5L,—,محتوای قالبی,ادغام پیشنهادی ← kc-a106-api-5l-standard-selection-by-project.html,—
128,astm-a106-a53.html,مقایسه ASTM A106 و A53,—,محتوای قالبی,ادغام پیشنهادی ← kc-a53-vs-a106-selection-criteria.html,—
129,esd-emergency-shutdown.html,راهنمای سیستم ESD (Emergency Shutdown),—,محتوای قالبی,ادغام پیشنهادی ← kc-esd-fire-gas.html,—
130,fire-gas-system-fgs.html,راهنمای Fire & Gas System (FGS),—,محتوای قالبی,ادغام پیشنهادی ← kc-esd-fire-gas.html,—
131,dpt.html,ترانسمیتر اختلاف فشار DPT,—,محتوای قالبی,ادغام پیشنهادی ← differential-pressure-transmitter-guide.html,—
