شباهت_محتوای_یکتا,فایل الف,فایل ب,عنوان الف,عنوان ب,یکتای الف,یکتای ب,لینک_ورودی_الف,لینک_ورودی_ب
0.891,knowledge-center/diaphragm-seal-guide.html,knowledge-center/instrument-calibration-standards.html,راهنمای سیل جداکننده (Diaphragm Seal) در ابزار دقیق,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک,597,596,3,3
0.89,knowledge-center/asme-b31-3-process-piping-guide.html,knowledge-center/hydrostatic-test-pipe-guide.html,راهنمای استاندارد ASME B31.3 | پیشرو تجهیز فرتاک,راهنمای تست هیدرواستاتیک لوله | پیشرو تجهیز فرتاک,605,603,5,3
0.885,knowledge-center/asme-b31-3-process-piping-guide.html,knowledge-center/astm-piping-standards-guide.html,راهنمای استاندارد ASME B31.3 | پیشرو تجهیز فرتاک,راهنمای استانداردهای ASTM در پایپینگ | پیشرو تجهیز فرتاک,605,594,5,3
0.879,knowledge-center/astm-piping-standards-guide.html,knowledge-center/hydrostatic-test-pipe-guide.html,راهنمای استانداردهای ASTM در پایپینگ | پیشرو تجهیز فرتاک,راهنمای تست هیدرواستاتیک لوله | پیشرو تجهیز فرتاک,594,603,3,3
0.876,knowledge-center/hydrostatic-level-transmitter.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,596,573,4,2
0.876,knowledge-center/diaphragm-seal-guide.html,knowledge-center/hydrostatic-level-transmitter.html,راهنمای سیل جداکننده (Diaphragm Seal) در ابزار دقیق,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک,597,596,3,4
0.873,knowledge-center/industrial-cable-selection-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,594,573,7,2
0.872,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/industrial-cable-selection-guide.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک,574,594,6,7
0.872,knowledge-center/diaphragm-seal-guide.html,knowledge-center/gas-analyzer-industry-guide.html,راهنمای سیل جداکننده (Diaphragm Seal) در ابزار دقیق,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک,597,599,3,6
0.87,knowledge-center/instrument-calibration-standards.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,596,573,3,2
0.87,knowledge-center/astm-piping-standards-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای استانداردهای ASTM در پایپینگ | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,594,573,3,2
0.869,knowledge-center/diaphragm-seal-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای سیل جداکننده (Diaphragm Seal) در ابزار دقیق,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,597,573,3,2
0.869,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/instrument-calibration-standards.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک,574,596,6,3
0.869,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/hydrostatic-level-transmitter.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک,574,596,6,4
0.869,knowledge-center/astm-piping-standards-guide.html,knowledge-center/atex-iecex-hazardous-area-guide.html,راهنمای استانداردهای ASTM در پایپینگ | پیشرو تجهیز فرتاک,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,594,574,3,6
0.868,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/diaphragm-seal-guide.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,راهنمای سیل جداکننده (Diaphragm Seal) در ابزار دقیق,574,597,6,3
0.866,knowledge-center/hart-calibration-training.html,knowledge-center/ip-rating-industrial-equipment-guide.html,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,599,573,6,2
0.866,knowledge-center/gas-analyzer-industry-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,599,573,6,2
0.866,knowledge-center/diaphragm-seal-guide.html,knowledge-center/hart-calibration-training.html,راهنمای سیل جداکننده (Diaphragm Seal) در ابزار دقیق,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک,597,599,3,6
0.865,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/gas-analyzer-industry-guide.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک,574,599,6,6
0.862,knowledge-center/epc-supply-chain-management-guide.html,knowledge-center/international-supply-contract-guide.html,راهنمای مدیریت زنجیره تامین در پروژه‌های EPC | پیشرو تجهیز فرتاک,راهنمای قراردادهای تامین بین‌المللی صنعتی | پیشرو تجهیز فرتاک,622,620,2,3
0.861,knowledge-center/hydrostatic-level-transmitter.html,knowledge-center/industrial-grounding-guide.html,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,596,584,4,5
0.859,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/hart-calibration-training.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک,574,599,6,6
0.855,knowledge-center/incoterms-industrial-trade-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای Incoterms 2024 در تجارت بین‌المللی صنعتی,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,620,573,3,2
0.855,knowledge-center/industrial-grounding-guide.html,knowledge-center/instrument-calibration-standards.html,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک,584,596,5,3
0.855,knowledge-center/astm-piping-standards-guide.html,knowledge-center/industrial-grounding-guide.html,راهنمای استانداردهای ASTM در پایپینگ | پیشرو تجهیز فرتاک,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,594,584,3,5
0.854,knowledge-center/diaphragm-seal-guide.html,knowledge-center/industrial-grounding-guide.html,راهنمای سیل جداکننده (Diaphragm Seal) در ابزار دقیق,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,597,584,3,5
0.851,knowledge-center/hart-calibration-training.html,knowledge-center/industrial-grounding-guide.html,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,599,584,6,5
0.851,knowledge-center/gas-analyzer-industry-guide.html,knowledge-center/industrial-grounding-guide.html,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,599,584,6,5
0.851,knowledge-center/astm-piping-standards-guide.html,knowledge-center/instrument-calibration-standards.html,راهنمای استانداردهای ASTM در پایپینگ | پیشرو تجهیز فرتاک,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک,594,596,3,3
0.849,knowledge-center/corrosion-resistant-equipment-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای تجهیزات مقاوم به خوردگی صنعتی | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,625,573,1,2
0.848,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/incoterms-industrial-trade-guide.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,راهنمای Incoterms 2024 در تجارت بین‌المللی صنعتی,574,620,6,3
0.847,knowledge-center/incoterms-industrial-trade-guide.html,knowledge-center/industrial-grounding-guide.html,راهنمای Incoterms 2024 در تجارت بین‌المللی صنعتی,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,620,584,3,5
0.846,knowledge-center/kc-gate-valve-wedge-parallel-slide.html,knowledge-center/kc-globe-valve-type-type.html,راهنمای کامل شیرهای Gate Valve؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل شیرهای Globe Valve؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1341,1337,5,4
0.845,knowledge-center/industrial-cable-selection-guide.html,knowledge-center/instrument-calibration-standards.html,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک,594,596,7,3
0.845,knowledge-center/hydrostatic-level-transmitter.html,knowledge-center/industrial-cable-selection-guide.html,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک,596,594,4,7
0.845,knowledge-center/astm-piping-standards-guide.html,knowledge-center/industrial-cable-selection-guide.html,راهنمای استانداردهای ASTM در پایپینگ | پیشرو تجهیز فرتاک,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک,594,594,3,7
0.844,knowledge-center/contactor-bimetal-guide.html,knowledge-center/industrial-cable-selection-guide.html,راهنمای کنتاکتور و بی متال در برق صنعتی | پیشرو تجهیز فرتاک,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک,647,594,3,7
0.844,knowledge-center/diaphragm-seal-guide.html,knowledge-center/industrial-cable-selection-guide.html,راهنمای سیل جداکننده (Diaphragm Seal) در ابزار دقیق,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک,597,594,3,7
0.844,knowledge-center/asme-b31-3-process-piping-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای استاندارد ASME B31.3 | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,605,573,5,2
0.842,knowledge-center/asme-b31-3-process-piping-guide.html,knowledge-center/atex-iecex-hazardous-area-guide.html,راهنمای استاندارد ASME B31.3 | پیشرو تجهیز فرتاک,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,605,574,5,6
0.842,knowledge-center/astm-piping-standards-guide.html,knowledge-center/hydrostatic-level-transmitter.html,راهنمای استانداردهای ASTM در پایپینگ | پیشرو تجهیز فرتاک,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک,594,596,3,4
0.842,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/corrosion-resistant-equipment-guide.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,راهنمای تجهیزات مقاوم به خوردگی صنعتی | پیشرو تجهیز فرتاک,574,625,6,1
0.842,knowledge-center/kc-pipe-support-steel-structure.html,knowledge-center/kc-pipe-thermal-insulation.html,راهنمای کامل سازه فلزی و ساپورت لوله در خطوط لوله کشی صنعتی,راهنمای کامل عایق‌کاری حرارتی لوله‌های صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1292,1288,4,2
0.841,knowledge-center/gas-analyzer-industry-guide.html,knowledge-center/industrial-cable-selection-guide.html,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک,599,594,6,7
0.841,knowledge-center/astm-piping-standards-guide.html,knowledge-center/diaphragm-seal-guide.html,راهنمای استانداردهای ASTM در پایپینگ | پیشرو تجهیز فرتاک,راهنمای سیل جداکننده (Diaphragm Seal) در ابزار دقیق,594,597,3,3
0.841,knowledge-center/kc-energy-management-oil-gas.html,knowledge-center/kc-international-marketing-oil-gas.html,راهنمای کامل مدیریت انرژی در صنایع نفت و گاز؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل بازاریابی بین‌المللی در صنایع نفت و گاز,1124,1127,4,5
0.839,knowledge-center/hydrostatic-test-pipe-guide.html,knowledge-center/instrument-calibration-standards.html,راهنمای تست هیدرواستاتیک لوله | پیشرو تجهیز فرتاک,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک,603,596,3,3
0.839,knowledge-center/hydrostatic-level-transmitter.html,knowledge-center/hydrostatic-test-pipe-guide.html,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک,راهنمای تست هیدرواستاتیک لوله | پیشرو تجهیز فرتاک,596,603,4,3
0.839,knowledge-center/electrical-brands-comparison.html,knowledge-center/industrial-cable-selection-guide.html,مقایسه برندهای تجهیزات برق صنعتی | پیشرو تجهیز فرتاک,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک,647,594,2,7
0.838,knowledge-center/astm-piping-standards-guide.html,knowledge-center/gas-analyzer-industry-guide.html,راهنمای استانداردهای ASTM در پایپینگ | پیشرو تجهیز فرتاک,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک,594,599,3,6
0.838,knowledge-center/diaphragm-seal-guide.html,knowledge-center/hydrostatic-test-pipe-guide.html,راهنمای سیل جداکننده (Diaphragm Seal) در ابزار دقیق,راهنمای تست هیدرواستاتیک لوله | پیشرو تجهیز فرتاک,597,603,3,3
0.838,knowledge-center/hydrostatic-test-pipe-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای تست هیدرواستاتیک لوله | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,603,573,3,2
0.836,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/hydrostatic-test-pipe-guide.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,راهنمای تست هیدرواستاتیک لوله | پیشرو تجهیز فرتاک,574,603,6,3
0.835,knowledge-center/hart-calibration-training.html,knowledge-center/industrial-cable-selection-guide.html,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک,599,594,6,7
0.835,knowledge-center/gas-analyzer-industry-guide.html,knowledge-center/hydrostatic-test-pipe-guide.html,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک,راهنمای تست هیدرواستاتیک لوله | پیشرو تجهیز فرتاک,599,603,6,3
0.833,knowledge-center/astm-a105-vs-a234.html,knowledge-center/astm-piping-standards-guide.html,مقایسه ASTM A105 و ASTM A234 در پایپینگ | پیشرو تجهیز فرتاک,راهنمای استانداردهای ASTM در پایپینگ | پیشرو تجهیز فرتاک,634,594,4,3
0.833,knowledge-center/astm-piping-standards-guide.html,knowledge-center/hart-calibration-training.html,راهنمای استانداردهای ASTM در پایپینگ | پیشرو تجهیز فرتاک,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک,594,599,3,6
0.832,knowledge-center/high-pressure-equipment-guide.html,knowledge-center/hydrostatic-level-transmitter.html,راهنمای تجهیزات فشار قوی و فوق‌العاده صنعتی | پیشرو تجهیز فرتاک,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک,637,596,3,4
0.832,knowledge-center/corrosion-resistant-equipment-guide.html,knowledge-center/industrial-grounding-guide.html,راهنمای تجهیزات مقاوم به خوردگی صنعتی | پیشرو تجهیز فرتاک,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,625,584,1,5
0.831,knowledge-center/kc-bms.html,knowledge-center/kc-led.html,راهنمای کامل سیستم اتوماسیون ساختمان (BMS) صنعتی,راهنمای کامل سیستم روشنایی صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1140,1136,2,2
0.831,knowledge-center/high-pressure-equipment-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای تجهیزات فشار قوی و فوق‌العاده صنعتی | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,637,573,3,2
0.83,knowledge-center/hart-calibration-training.html,knowledge-center/hydrostatic-test-pipe-guide.html,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک,راهنمای تست هیدرواستاتیک لوله | پیشرو تجهیز فرتاک,599,603,6,3
0.828,knowledge-center/asme-b31-3-process-piping-guide.html,knowledge-center/instrument-calibration-standards.html,راهنمای استاندارد ASME B31.3 | پیشرو تجهیز فرتاک,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک,605,596,5,3
0.828,knowledge-center/asme-b31-3-process-piping-guide.html,knowledge-center/hydrostatic-level-transmitter.html,راهنمای استاندارد ASME B31.3 | پیشرو تجهیز فرتاک,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک,605,596,5,4
0.827,knowledge-center/international-supply-contract-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای قراردادهای تامین بین‌المللی صنعتی | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,620,573,3,2
0.827,knowledge-center/asme-b31-3-process-piping-guide.html,knowledge-center/diaphragm-seal-guide.html,راهنمای استاندارد ASME B31.3 | پیشرو تجهیز فرتاک,راهنمای سیل جداکننده (Diaphragm Seal) در ابزار دقیق,605,597,5,3
0.827,knowledge-center/high-pressure-equipment-guide.html,knowledge-center/instrument-calibration-standards.html,راهنمای تجهیزات فشار قوی و فوق‌العاده صنعتی | پیشرو تجهیز فرتاک,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک,637,596,3,3
0.826,knowledge-center/kc-energy-management-oil-gas.html,knowledge-center/kc-oil-gas-export-terminal-equipment.html,راهنمای کامل مدیریت انرژی در صنایع نفت و گاز؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تجهیزات پایانه‌های صادراتی نفت و گاز,1124,1128,4,4
0.826,knowledge-center/contactor-bimetal-guide.html,knowledge-center/industrial-grounding-guide.html,راهنمای کنتاکتور و بی متال در برق صنعتی | پیشرو تجهیز فرتاک,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,647,584,3,5
0.826,knowledge-center/industrial-customs-clearance-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای ترخیص گمرکی کالاهای صنعتی | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,621,573,4,2
0.825,knowledge-center/kc-actuator.html,knowledge-center/kc-cv-actuator.html,راهنمای کامل انتخاب محرک (Actuator) برای شیرآلات,راهنمای کامل شیرهای کنترل؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1369,1370,4,4
0.824,knowledge-center/asme-b31-3-process-piping-guide.html,knowledge-center/gas-analyzer-industry-guide.html,راهنمای استاندارد ASME B31.3 | پیشرو تجهیز فرتاک,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک,605,599,5,6
0.824,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/high-pressure-equipment-guide.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,راهنمای تجهیزات فشار قوی و فوق‌العاده صنعتی | پیشرو تجهیز فرتاک,574,637,6,3
0.823,knowledge-center/hydrostatic-test-pipe-guide.html,knowledge-center/industrial-grounding-guide.html,راهنمای تست هیدرواستاتیک لوله | پیشرو تجهیز فرتاک,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,603,584,3,5
0.823,knowledge-center/hart-calibration-training.html,knowledge-center/high-pressure-equipment-guide.html,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک,راهنمای تجهیزات فشار قوی و فوق‌العاده صنعتی | پیشرو تجهیز فرتاک,599,637,6,3
0.823,knowledge-center/gas-analyzer-industry-guide.html,knowledge-center/high-pressure-equipment-guide.html,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک,راهنمای تجهیزات فشار قوی و فوق‌العاده صنعتی | پیشرو تجهیز فرتاک,599,637,6,3
0.821,knowledge-center/kc-cable-tray-cable-duct.html,knowledge-center/kc-industrial-power-cable-sizing.html,راهنمای کامل کانال‌های کابل و سینی کابل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل کابل‌های قدرت صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1149,1149,2,4
0.821,knowledge-center/asme-b31-3-process-piping-guide.html,knowledge-center/industrial-grounding-guide.html,راهنمای استاندارد ASME B31.3 | پیشرو تجهیز فرتاک,راهنمای سیستم اتصال زمین (Grounding) صنعتی | پیشرو تجهیز فرتاک,605,584,5,5
0.82,knowledge-center/kc-304-316.html,knowledge-center/kc-a335.html,راهنمای کامل لوله‌های استینلس استیل 304 و 316؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل لوله‌های آلیاژی کروم-مولیبدن A335,1293,1279,3,2
0.82,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/international-supply-contract-guide.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,راهنمای قراردادهای تامین بین‌المللی صنعتی | پیشرو تجهیز فرتاک,574,620,6,3
0.82,knowledge-center/incoterms-industrial-trade-guide.html,knowledge-center/industrial-cable-selection-guide.html,راهنمای Incoterms 2024 در تجارت بین‌المللی صنعتی,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک,620,594,3,7
0.82,knowledge-center/kc-international-marketing-oil-gas.html,knowledge-center/kc-oil-gas-export-terminal-equipment.html,راهنمای کامل بازاریابی بین‌المللی در صنایع نفت و گاز,راهنمای کامل تجهیزات پایانه‌های صادراتی نفت و گاز,1127,1128,5,4
0.819,knowledge-center/epc-supply-chain-management-guide.html,knowledge-center/ip-rating-industrial-equipment-guide.html,راهنمای مدیریت زنجیره تامین در پروژه‌های EPC | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,622,573,2,2
0.819,knowledge-center/atex-iecex-hazardous-area-guide.html,knowledge-center/industrial-customs-clearance-guide.html,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک,راهنمای ترخیص گمرکی کالاهای صنعتی | پیشرو تجهیز فرتاک,574,621,6,4
0.819,knowledge-center/kc-ball-valve.html,knowledge-center/kc-globe-valve-type-type.html,راهنمای کامل شیرهای Ball Valve؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل شیرهای Globe Valve؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1344,1337,16,4
0.819,knowledge-center/asme-b31-3-process-piping-guide.html,knowledge-center/hart-calibration-training.html,راهنمای استاندارد ASME B31.3 | پیشرو تجهیز فرتاک,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک,605,599,5,6
0.818,knowledge-center/kc-ball-valve.html,knowledge-center/kc-butterfly-valve-offset.html,راهنمای کامل شیرهای Ball Valve؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل شیرهای Butterfly Valve؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1344,1387,16,2
0.818,knowledge-center/astm-a105-vs-a234.html,knowledge-center/ip-rating-industrial-equipment-guide.html,مقایسه ASTM A105 و ASTM A234 در پایپینگ | پیشرو تجهیز فرتاک,راهنمای استاندارد IP در تجهیزات صنعتی | پیشرو تجهیز فرتاک,634,573,4,2
