صفحه_نازک,طول_یکتا,هدف_پیشنهادی,طول_یکتای_هدف,امتیاز_تطابق,تصمیم
ghz-80,83,,0,0,
pneumatic-actuator-rack-pinion,83,kc-actuator,2981,1.0,
ups-online-line-interactive,83,kc-ups,2991,1.0,
article-023,82,,0,0,
control-valve-iec-60534,82,kc-control-valve-noise-prediction-iec-60534,7184,1.0,
ut,82,,0,0,
yokogawa-eja,82,,0,0,
astm-a105,81,kc-astm-a106-gr,3206,0.5,
conductivity-meter,81,,0,0,
fire-gas-system-fgs,81,kc-esd-fire-gas,2932,0.67,
incoterms-2024,81,kc-incoterms-2024,3118,1.0,
seat-ptfe-peek-nylon,81,kc-ball-valve-seat-material-selection,7466,0.25,
article-015,80,,0,0,
article-016,80,,0,0,
diaphragm-valve,80,control-valve-actuator-selection-guide,7552,0.5,
pmi-positive-material-identification,80,kc-industrial-material-handling-transport,2912,0.33,
turbidity-meter,80,,0,0,
api-617,79,kc-api-617-surge-control-antisurge,7172,1.0,
article-008,79,,0,0,
article-009,79,,0,0,
high-temperature,79,kc-a333-low-temperature-impact-testing,7245,0.5,
plc-siemens-s7-1500,79,kc-plc,2907,1.0,
thermal-mass-flowmeter,79,kc-thermal-powerplant-equipment,3136,0.5,
article-010,78,,0,0,
article-017,78,,0,0,
asme-b16-34,78,,0,0,
float-vibrating-capacitance,78,,0,0,
gearbox-handwheel-worm-gear,78,,0,0,
modbus-tcp-rtu,78,,0,0,
ndt-rt,78,kc-ndt,2971,1.0,
sf6,78,,0,0,
ups-nicd-li-ion,78,kc-ups,2991,1.0,
angle-valve,77,control-valve-actuator-selection-guide,7552,0.5,
astm-a53-gr-b,77,kc-astm-a106-gr,3206,0.67,
esd-emergency-shutdown,77,kc-surge-arrester-emergency-shutdown-valves,3173,0.67,
ph,77,kc-gc-ph-o2-h2s,3092,1.0,
cerabar,76,,0,0,
thermowell,76,,0,0,
article-006,75,,0,0,
article-021,75,,0,0,
asme-b31-1,75,,0,0,
astm-a105-astm-a350-lf2,75,kc-astm-a106-gr,3206,0.33,
soft-starter,75,,0,0,
api-5l-x42,74,kc-a106-api-5l-standard-selection-by-project,7046,0.67,
article-013,74,,0,0,
astm-a403-wp304-wp316,74,kc-astm-a106-gr,3206,0.33,
mfc-mass-flow-controller,73,kc-globe-valve-flow-direction-guide,7476,0.25,
ndt-ut,73,kc-ndt,2971,1.0,
socket-weld-threaded,73,kc-a335-pwht-post-weld-heat-treatment,7060,0.33,
3-way-valve-l-port-t-port,72,industrial-valve-standards-guide,2291,0.5,
astm-a182-f304-f316,72,kc-astm-a106-gr,3206,0.33,
astm-a234-wpb,72,kc-astm-a106-gr,3206,0.33,
pilot-operated-valve,71,industrial-valve-standards-guide,2291,0.5,
shutdown,71,kc-surge-arrester-emergency-shutdown-valves,3173,1.0,
asme-b16-11-socket-weld-threaded,69,kc-erw-hfw-weld-seam-inspection,7698,0.2,
pinch-valve,68,control-valve-actuator-selection-guide,7552,0.5,
article-005,67,,0,0,
knife-gate-valve,66,kc-gate-valve-api-600-flexible-wedge-design,7578,0.67,
plc-allen-bradley-controllogix,66,kc-plc,2907,1.0,
rosemount-644,64,rosemount-pressure-transmitter-family,5359,0.5,
transit-time-doppler,63,kc-hydrotest-pressure-holding-time-calculation,7290,0.33,
iso-9001,0,kc-api-598-iso-5208,2847,0.5,
