فایل,نسبت_تیتر_قالبی,تعداد_تیتر_قالبی,تعداد_کل_تیتر
knowledge-center/safety-relief-valve-guide.html,1.0,9,9
knowledge-center/rtd-vs-thermocouple-comparison.html,1.0,9,9
knowledge-center/rosemount-vs-yokogawa-comparison.html,1.0,9,9
knowledge-center/radar-level-transmitter-guide.html,1.0,9,9
knowledge-center/protective-relay-guide.html,1.0,9,9
knowledge-center/pressure-transmitter-calibration-guide.html,1.0,9,9
knowledge-center/pressure-gauge-complete-guide.html,1.0,9,9
knowledge-center/power-distribution-transformer-guide.html,1.0,9,9
knowledge-center/pmi-testing-guide.html,1.0,9,9
knowledge-center/plc-types-industrial-guide.html,1.0,9,9
knowledge-center/nioc-npc-vendor-list-guide.html,1.0,9,9
knowledge-center/ip-rating-industrial-equipment-guide.html,1.0,9,9
knowledge-center/instrument-calibration-standards.html,1.0,9,9
knowledge-center/industrial-grounding-guide.html,1.0,9,9
knowledge-center/industrial-cable-selection-guide.html,1.0,9,9
knowledge-center/hydrostatic-test-pipe-guide.html,1.0,9,9
knowledge-center/hydrostatic-level-transmitter.html,1.0,9,9
knowledge-center/hart-calibration-training.html,1.0,9,9
knowledge-center/gas-analyzer-industry-guide.html,1.0,9,9
knowledge-center/flange-bolting-guide.html,1.0,9,9
knowledge-center/diaphragm-seal-guide.html,1.0,9,9
knowledge-center/control-valve-complete-guide.html,1.0,9,9
knowledge-center/atex-iecex-hazardous-area-guide.html,1.0,9,9
knowledge-center/astm-piping-standards-guide.html,1.0,9,9
knowledge-center/asme-b31-3-process-piping-guide.html,1.0,9,9
knowledge-center/api-602-small-gate-valve.html,1.0,9,9
knowledge-center/a53-pipe-specifications.html,1.0,9,9
knowledge-center/flange-types-complete-guide.html,1.0,8,8
knowledge-center/yokogawa-eja.html,0.89,8,9
knowledge-center/vendor-qualification.html,0.89,8,9
knowledge-center/ut.html,0.89,8,9
knowledge-center/transit-time-doppler.html,0.89,8,9
knowledge-center/tilting-disc-check-valve.html,0.89,8,9
knowledge-center/surge-arrester.html,0.89,8,9
knowledge-center/stainless-steel.html,0.89,8,9
knowledge-center/soft-starter.html,0.89,8,9
knowledge-center/shutdown.html,0.89,8,9
knowledge-center/shell-seat-closure.html,0.89,8,9
knowledge-center/sf6.html,0.89,8,9
knowledge-center/scada.html,0.89,8,9
knowledge-center/rosemount-644.html,0.89,8,9
knowledge-center/profibus-profinet.html,0.89,8,9
knowledge-center/pmi-positive-material-identification.html,0.89,8,9
knowledge-center/plug-valve-lubricated-non-lubricated.html,0.89,8,9
knowledge-center/plc-allen-bradley-controllogix.html,0.89,8,9
knowledge-center/pinch-valve.html,0.89,8,9
knowledge-center/pilot-operated-valve.html,0.89,8,9
knowledge-center/phase-control-relay.html,0.89,8,9
knowledge-center/ndt-ut.html,0.89,8,9
knowledge-center/ndt-rt.html,0.89,8,9
knowledge-center/nace-mr0175.html,0.89,8,9
knowledge-center/mfc-mass-flow-controller.html,0.89,8,9
knowledge-center/knife-gate-valve.html,0.89,8,9
knowledge-center/incoterms-2024.html,0.89,8,9
knowledge-center/hplc-gc.html,0.89,8,9
knowledge-center/high-temperature.html,0.89,8,9
knowledge-center/globe-angle-valve.html,0.89,8,9
knowledge-center/ghz-80.html,0.89,8,9
knowledge-center/gearbox-handwheel-worm-gear.html,0.89,8,9
knowledge-center/float-vibrating-capacitance.html,0.89,8,9
knowledge-center/en-10204.html,0.89,8,9
knowledge-center/electric-actuator.html,0.89,8,9
knowledge-center/dual-plate-check-valve.html,0.89,8,9
knowledge-center/din-ansi.html,0.89,8,9
knowledge-center/diaphragm-valve.html,0.89,8,9
knowledge-center/dcs-distributed-control-system.html,0.89,8,9
knowledge-center/cryogenic-valve-lng.html,0.89,8,9
knowledge-center/class-i-class-vi.html,0.89,8,9
knowledge-center/cerabar.html,0.89,8,9
knowledge-center/astm-jis.html,0.89,8,9
knowledge-center/astm-a403-wp304-wp316.html,0.89,8,9
knowledge-center/astm-a312.html,0.89,8,9
knowledge-center/astm-a234-wpb.html,0.89,8,9
knowledge-center/astm-a213.html,0.89,8,9
knowledge-center/astm-a209.html,0.89,8,9
knowledge-center/astm-a182-f304-f316.html,0.89,8,9
knowledge-center/astm-a106-a53.html,0.89,8,9
knowledge-center/astm-a105.html,0.89,8,9
knowledge-center/astm-a105-astm-a350-lf2.html,0.89,8,9
knowledge-center/asme-b31-3.html,0.89,8,9
knowledge-center/asme-b31-1.html,0.89,8,9
knowledge-center/asme-b16-34.html,0.89,8,9
knowledge-center/article-059.html,0.89,8,9
knowledge-center/article-052.html,0.89,8,9
knowledge-center/article-041.html,0.89,8,9
knowledge-center/article-031.html,0.89,8,9
knowledge-center/article-027.html,0.89,8,9
knowledge-center/article-023.html,0.89,8,9
knowledge-center/article-021.html,0.89,8,9
knowledge-center/article-017.html,0.89,8,9
knowledge-center/article-016.html,0.89,8,9
knowledge-center/article-015.html,0.89,8,9
knowledge-center/article-014.html,0.89,8,9
knowledge-center/article-013.html,0.89,8,9
knowledge-center/article-012.html,0.89,8,9
knowledge-center/article-011.html,0.89,8,9
knowledge-center/article-010.html,0.89,8,9
knowledge-center/article-009.html,0.89,8,9
knowledge-center/article-008.html,0.89,8,9
knowledge-center/article-007.html,0.89,8,9
knowledge-center/article-006.html,0.89,8,9
knowledge-center/article-005.html,0.89,8,9
knowledge-center/article-004.html,0.89,8,9
knowledge-center/article-003.html,0.89,8,9
knowledge-center/article-002.html,0.89,8,9
knowledge-center/article-001.html,0.89,8,9
knowledge-center/api-617.html,0.89,8,9
knowledge-center/api-600.html,0.89,8,9
knowledge-center/api-5l-x70.html,0.89,8,9
knowledge-center/api-5l-x65.html,0.89,8,9
knowledge-center/ansi-ieee-c37.html,0.89,8,9
knowledge-center/angle-valve.html,0.89,8,9
knowledge-center/3-way-valve-l-port-t-port.html,0.89,8,9
knowledge-center/vortex-flowmeter.html,0.88,7,8
knowledge-center/vfd.html,0.88,7,8
knowledge-center/vcb.html,0.88,7,8
knowledge-center/ups-online-line-interactive.html,0.88,7,8
knowledge-center/ups-nicd-li-ion.html,0.88,7,8
knowledge-center/turbidity-meter.html,0.88,7,8
knowledge-center/thermowell.html,0.88,7,8
knowledge-center/thermal-mass-flowmeter.html,0.88,7,8
knowledge-center/ss304-ss316.html,0.88,7,8
knowledge-center/socket-weld-threaded.html,0.88,7,8
knowledge-center/sil-iec-61508-iec-61511.html,0.88,7,8
knowledge-center/seat-ptfe-peek-nylon.html,0.88,7,8
knowledge-center/schedule-sch-40-80-160.html,0.88,7,8
knowledge-center/rosemount-3051.html,0.88,7,8
knowledge-center/psv-prv-api-520-api-526.html,0.88,7,8
knowledge-center/pressure-gauge-asme-b40-100.html,0.88,7,8
knowledge-center/pneumatic-actuator-rack-pinion.html,0.88,7,8
knowledge-center/plc-siemens-s7-1500.html,0.88,7,8
knowledge-center/ph.html,0.88,7,8
knowledge-center/o2-co2-h2s.html,0.88,7,8
knowledge-center/nozzle-check-valve.html,0.88,7,8
knowledge-center/mv-iec-62271.html,0.88,7,8
knowledge-center/modbus-tcp-rtu.html,0.88,7,8
knowledge-center/magmeter.html,0.88,7,8
knowledge-center/lv-iec-61439.html,0.88,7,8
knowledge-center/iso-9001.html,0.88,7,8
knowledge-center/guided-wave-non-contact.html,0.88,7,8
knowledge-center/globe-gate-valve.html,0.88,7,8
knowledge-center/fire-test-api-607.html,0.88,7,8
knowledge-center/fire-gas-system-fgs.html,0.88,7,8
knowledge-center/esd-emergency-shutdown.html,0.88,7,8
knowledge-center/erw.html,0.88,7,8
knowledge-center/dpt.html,0.88,7,8
knowledge-center/distribution-transformer.html,0.88,7,8
knowledge-center/control-valve-iec-60534.html,0.88,7,8
knowledge-center/conductivity-meter.html,0.88,7,8
knowledge-center/check-valve-swing-lift-dual-plate.html,0.88,7,8
knowledge-center/butterfly-valve-api-609-concentric-offset.html,0.88,7,8
knowledge-center/ball-valve-api-6d.html,0.88,7,8
knowledge-center/astm-a53-gr-b.html,0.88,7,8
knowledge-center/astm-a335-p91.html,0.88,7,8
knowledge-center/astm-a335-p11-p22-p91.html,0.88,7,8
knowledge-center/astm-a179.html,0.88,7,8
knowledge-center/asme-b36-19.html,0.88,7,8
knowledge-center/asme-b16-9.html,0.88,7,8
knowledge-center/asme-b16-5.html,0.88,7,8
knowledge-center/asme-b16-11-socket-weld-threaded.html,0.88,7,8
knowledge-center/api-610.html,0.88,7,8
knowledge-center/api-5l-x52.html,0.88,7,8
knowledge-center/api-5l-x52-x60-x65.html,0.88,7,8
knowledge-center/api-5l-x42.html,0.88,7,8
knowledge-center/api-5l-psl2-psl1.html,0.88,7,8
knowledge-center/a53-gr-b.html,0.88,7,8
knowledge-center/a333-gr-6.html,0.88,7,8
knowledge-center/a106-gr-b.html,0.88,7,8
knowledge-center/a106-gr-b-a333-gr-6.html,0.88,7,8
knowledge-center/a106-api-5l.html,0.88,7,8
knowledge-center/ndt-inspection-industrial-guide.html,0.8,8,10
knowledge-center/flange-material-selection-guide.html,0.8,8,10
knowledge-center/level-measurement-guide.html,0.78,7,9
knowledge-center/gasket-types-guide.html,0.78,7,9
knowledge-center/flowmeter-types-guide.html,0.78,7,9
knowledge-center/en-10204-certificate-guide.html,0.78,7,9
knowledge-center/check-valve-complete-guide.html,0.78,7,9
knowledge-center/ball-vs-gate-valve-comparison.html,0.78,7,9
knowledge-center/mcc-panel-guide.html,0.73,8,11
knowledge-center/hart-protocol-complete-guide.html,0.73,8,11
knowledge-center/wn-vs-so-flange-comparison.html,0.7,7,10
knowledge-center/seamless-vs-erw-pipe-difference.html,0.7,7,10
knowledge-center/pipe-fittings-guide.html,0.7,7,10
knowledge-center/mccb-circuit-breaker-guide.html,0.7,7,10
knowledge-center/globe-valve-complete-guide.html,0.7,7,10
knowledge-center/gate-valve-complete-guide.html,0.7,7,10
knowledge-center/differential-pressure-transmitter-guide.html,0.7,7,10
knowledge-center/butterfly-valve-complete-guide.html,0.7,7,10
knowledge-center/asme-b36-10-pipe-dimensions.html,0.7,7,10
knowledge-center/api-6d-ball-valve-standard.html,0.7,7,10
knowledge-center/api-600-gate-valve-standard.html,0.7,7,10
knowledge-center/api-5l-pipe-guide.html,0.7,7,10
knowledge-center/oil-gas-industry-supply-guide.html,0.67,8,12
knowledge-center/temperature-transmitter-guide.html,0.64,7,11
knowledge-center/seamless-pipe-complete-guide.html,0.64,7,11
knowledge-center/acb-circuit-breaker-guide.html,0.64,7,11
knowledge-center/kc-technical-personnel-training.html,0.6,6,10
knowledge-center/kc-technical-certifications-supplier-qualification.html,0.6,6,10
knowledge-center/kc-supplier-qualification-assessment.html,0.6,6,10
knowledge-center/kc-steel-plate-specifications.html,0.6,6,10
knowledge-center/kc-steel-beam-rebar-specifications.html,0.6,6,10
knowledge-center/kc-spare-parts-warehousing-inventory.html,0.6,6,10
knowledge-center/kc-oil-gas-export-terminal-equipment.html,0.6,6,10
knowledge-center/kc-international-marketing-oil-gas.html,0.6,6,10
knowledge-center/kc-industrial-laboratory-equipment.html,0.6,6,10
knowledge-center/kc-industrial-equipment-export.html,0.6,6,10
knowledge-center/kc-flare-burner-equipment.html,0.6,6,10
knowledge-center/kc-fire-alarm-detection-system.html,0.6,6,10
knowledge-center/kc-energy-management-oil-gas.html,0.6,6,10
knowledge-center/kc-crude-oil-products-storage-system.html,0.6,6,10
knowledge-center/kc-control-room-equipment-standards.html,0.6,6,10
